# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  116       4.329839639462e-10       1.321664405678e-13      -4.505674586022e-12       0.000000000000e+00       6.773040832738e-12       1.058263198732e-12      -6.216509122346e-15 
  117       4.375376185580e-10       1.335903139573e-13      -4.586908331102e-12       0.000000000000e+00       6.617187681523e-12       1.039786263894e-12      -6.159670046363e-15 
  118       4.421056887154e-10       1.349646985857e-13      -4.667014557180e-12       0.000000000000e+00       6.465690586992e-12       1.021753013045e-12      -6.100343560619e-15 
  119       4.466875380773e-10       1.362882086773e-13      -4.745920579331e-12       0.000000000000e+00       6.318537772224e-12       1.004161726030e-12      -6.038699483526e-15 
  120       4.512824440141e-10       1.375594921518e-13      -4.823553626566e-12       0.000000000000e+00       6.175692129121e-12       9.870076835579e-13      -5.974918191356e-15 
  121       4.558895949172e-10       1.387772320334e-13      -4.899840874092e-12       0.000000000000e+00       6.037090464948e-12       9.702830772405e-13      -5.909190798952e-15 
  122       4.605080875088e-10       1.399401478609e-13      -4.974709475576e-12       0.000000000000e+00       5.902642748874e-12       9.539769196389e-13      -5.841719340444e-15 
  123       4.651369241504e-10       1.410469970964e-13      -5.048086595411e-12       0.000000000000e+00       5.772231358511e-12       9.380749543051e-13      -5.772716949966e-15 
  124       4.697750101533e-10       1.420965765358e-13      -5.119899440973e-12       0.000000000000e+00       5.645710326456e-12       9.225595658251e-13      -5.702408042368e-15 
  125       4.744211510873e-10       1.430877237172e-13      -5.190075294886e-12       0.000000000000e+00       5.522904586827e-12       9.074096898615e-13      -5.631028493934e-15 
  126       4.790740500907e-10       1.440193183313e-13      -5.258541547286e-12       0.000000000000e+00       5.403609221808e-12       8.926007231971e-13      -5.558825823098e-15 
  127       4.837323051790e-10       1.448902836304e-13      -5.325225728085e-12       0.000000000000e+00       5.287588708185e-12       8.781044337770e-13      -5.486059371153e-15 
  128       4.883944065552e-10       1.456995878379e-13      -5.390055539227e-12       0.000000000000e+00       5.174576163890e-12       8.638888707521e-13      -5.413000482974e-15 
  129       4.930588885681e-10       1.464462858604e-13      -5.452959592916e-12       0.000000000000e+00       5.064330729231e-12       8.499259234102e-13      -5.339896431980e-15 
  130       4.977248101517e-10       1.471296466029e-13      -5.513869649311e-12       0.000000000000e+00       4.956818428020e-12       8.362151265820e-13      -5.266857336762e-15 
  131       5.023913222515e-10       1.477490423486e-13      -5.572718686416e-12       0.000000000000e+00       4.852049815614e-12       8.227623088736e-13      -5.193957122837e-15 
  132       5.070575163311e-10       1.483039113900e-13      -5.629440253077e-12       0.000000000000e+00       4.750023288573e-12       8.095721429920e-13      -5.121268588447e-15 
  133       5.117224227882e-10       1.487937597265e-13      -5.683968506298e-12       0.000000000000e+00       4.650724747192e-12       7.966481105208e-13      -5.048863325834e-15 
  134       5.163850093708e-10       1.492181627627e-13      -5.736238248551e-12       0.000000000000e+00       4.554127258033e-12       7.839924666956e-13      -4.976811642530e-15 
  135       5.210441795931e-10       1.495767670056e-13      -5.786184965094e-12       0.000000000000e+00       4.460190716455e-12       7.716062051799e-13      -4.905182482633e-15 
