# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                
       7.285328260637e-03       1.791366705223e-01      -4.017181290820e+02      -4.018870618801e+02       1.827206072809e-01      -3.041714205093e+02      -4.013235366701e+02       3.986385036497e-01       3.986385020835e-01 
       7.412551999239e-03       1.785041823028e-01      -4.143858705730e+02      -4.145649665832e+02       1.820753130594e-01      -3.122482333991e+02      -4.139761440405e+02       3.972122592876e-01       3.972122578903e-01 
       7.539864129549e-03       1.778730701410e-01      -4.272090286448e+02      -4.273987499979e+02       1.814314227673e-01      -3.203550410083e+02      -4.267839575343e+02       3.957891226107e-01       3.957891213612e-01 
       7.667260981458e-03       1.772433626495e-01      -4.401853628267e+02      -4.403861921729e+02       1.807889656656e-01      -3.284888250737e+02      -4.397447509965e+02       3.943691676793e-01       3.943691665598e-01 
       7.794739127506e-03       1.766151206123e-01      -4.533126103165e+02      -4.535250411852e+02       1.801480028881e-01      -3.366466003152e+02      -4.528562681053e+02       3.929524229114e-01       3.929524219062e-01 
       7.922295365022e-03       1.759883744827e-01      -4.665886842673e+02      -4.668132322710e+02       1.795085663272e-01      -3.448255688063e+02      -4.661164379001e+02       3.915390588947e-01       3.915390579902e-01 
       8.049926699825e-03       1.753630963617e-01      -4.800113762607e+02      -4.802485636020e+02       1.788706282748e-01      -3.530228617329e+02      -4.795230551075e+02       3.901291056887e-01       3.901291048730e-01 
       8.177630331326e-03       1.747393380882e-01      -4.935784610988e+02      -4.938288254328e+02       1.782342407541e-01      -3.612356158685e+02      -4.930739052135e+02       3.887225722447e-01       3.887225715074e-01 
       8.305403638914e-03       1.741172208754e-01      -5.072878334206e+02      -5.075519244947e+02       1.775995259357e-01      -3.694610547800e+02      -5.067668905445e+02       3.873195457593e-01       3.873195450913e-01 
       8.433244169478e-03       1.734966410063e-01      -5.211374492576e+02      -5.214158240146e+02       1.769663807856e-01      -3.776964432288e+02      -5.205999706054e+02       3.859201355575e-01       3.859201349509e-01 
