# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.04342e-05 to 1055.3 h/Mpc,
# number of wavenumbers equal to 632
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       2.317184211447e-02       1.398099149992e+05       1.140869237919e+05       1.654500720556e+03       1.495297737687e+03       4.697626647052e+03       1.315406852716e+05 
       2.330528318020e-02       1.392985404456e+05       1.134066238547e+05       1.569375496982e+03       1.495829408907e+03       4.625190268459e+03       1.310170244992e+05 
       2.343883462165e-02       1.387885670773e+05       1.127288198705e+05       1.488489304164e+03       1.498943643389e+03       4.556272739273e+03       1.304950057138e+05 
       2.357249873754e-02       1.382800997213e+05       1.120540654175e+05       1.412320611176e+03       1.504159642445e+03       4.490841168341e+03       1.299748044249e+05 
       2.370627788218e-02       1.377729547179e+05       1.113810871752e+05       1.341295867042e+03       1.510965293762e+03       4.428803050135e+03       1.294560758940e+05 
       2.384017446692e-02       1.372672260043e+05       1.107109384899e+05       1.275756744565e+03       1.518872526075e+03       4.370072659746e+03       1.289390617723e+05 
       2.397419096152e-02       1.367629871432e+05       1.100439115136e+05       1.215989992239e+03       1.527385021403e+03       4.314522987963e+03       1.284238675228e+05 
       2.410832989569e-02       1.362600865219e+05       1.093789405957e+05       1.162230166840e+03       1.536015164708e+03       4.261993121574e+03       1.279102032751e+05 
       2.424259386064e-02       1.357585554711e+05       1.087163373807e+05       1.114631180232e+03       1.544299525718e+03       4.212313750612e+03       1.273981409067e+05 
       2.437698551064e-02       1.352584055542e+05       1.080566757884e+05       1.073241631160e+03       1.551799504077e+03       4.165295487067e+03       1.268877752762e+05 
       2.451150756465e-02       1.347597563993e+05       1.074000757610e+05       1.038133764316e+03       1.558101747791e+03       4.120736961802e+03       1.263792190901e+05 
       2.464616280806e-02       1.342624573969e+05       1.067459752013e+05       1.009238090596e+03       1.562825544616e+03       4.078407122054e+03       1.258722568298e+05 
       2.478095409441e-02       1.337665494188e+05       1.060944905127e+05       9.864422421347e+02       1.565631756477e+03       4.038072798385e+03       1.253669338309e+05 
       2.491588434721e-02       1.332719859560e+05       1.054456959240e+05       9.695891280432e+02       1.566218639334e+03       3.999495029598e+03       1.248632172871e+05 
       2.505095656177e-02       1.327788174068e+05       1.047996556722e+05       9.584591792012e+02       1.564331367575e+03       3.962429614005e+03       1.243611509444e+05 
       2.518617380718e-02       1.322869663010e+05       1.041561618264e+05       9.527422017526e+02       1.559770824047e+03       3.926621803508e+03       1.238606310412e+05 
       2.532153922828e-02       1.317965907894e+05       1.035159111432e+05       9.521526539580e+02       1.552369399374e+03       3.891837262845e+03       1.233618869568e+05 
       2.545705604769e-02       1.313074802010e+05       1.028778572854e+05       9.562961968425e+02       1.542021572726e+03       3.857818709499e+03       1.228645754958e+05 
       2.559272756800e-02       1.308197222225e+05       1.022427510548e+05       9.647963470285e+02       1.528659156424e+03       3.824336380532e+03       1.223688763840e+05 
       2.572855717392e-02       1.303333449482e+05       1.016105918857e+05       9.771737943933e+02       1.512291258792e+03       3.791163888773e+03       1.218748029143e+05 
       2.586454833455e-02       1.298482845499e+05       1.009810297426e+05       9.929811567700e+02       1.492944187659e+03       3.758081192682e+03       1.213822399809e+05 
       2.600070460579e-02       1.293646420082e+05       1.003546235895e+05       1.011739693111e+03       1.470699431878e+03       3.724889806498e+03       1.208913479240e+05 
       2.613702963269e-02       1.288821108223e+05       9.972980948479e+04       1.032933949161e+03       1.445698094078e+03       3.691390698749e+03       1.204016253475e+05 
       2.627352715205e-02       1.284011955297e+05       9.910974786795e+04       1.056050230333e+03       1.418103153714e+03       3.657439055084e+03       1.199139657670e+05 
       2.641020099497e-02       1.279214396344e+05       9.849145225898e+04       1.080574985110e+03       1.388126162697e+03       3.622861208378e+03       1.194275253140e+05 
       2.654705508956e-02       1.274430685604e+05       9.787631612155e+04       1.105994081797e+03       1.356018064460e+03       3.587541603380e+03       1.189426965614e+05 
       2.668409346375e-02       1.269658934699e+05       9.726393366339e+04       1.131807008313e+03       1.322046100947e+03       3.551364610117e+03       1.184592556742e+05 
       2.682132024813e-02       1.264900731420e+05       9.665401128099e+04       1.157519168289e+03       1.286504957487e+03       3.514243340070e+03       1.179772795326e+05 
       2.695873967901e-02       1.260156225997e+05       9.604766002931e+04       1.182660883745e+03       1.249727263348e+03       3.476125585415e+03       1.174969474278e+05 
       2.709635610147e-02       1.255424051458e+05       9.544394355222e+04       1.206787028918e+03       1.212034262028e+03       3.436957808661e+03       1.170179971876e+05 
       2.723417397261e-02       1.250704464024e+05       9.484308511129e+04       1.229476175024e+03       1.173778389375e+03       3.396726838637e+03       1.165404798934e+05 
       2.737219786483e-02       1.245998077162e+05       9.424506110528e+04       1.250348779064e+03       1.135307610129e+03       3.355438853173e+03       1.160644380977e+05 
       2.751043246934e-02       1.241304217716e+05       9.365039479539e+04       1.269048350424e+03       1.096969315811e+03       3.313115913404e+03       1.155898952083e+05 
       2.764888259969e-02       1.236623156873e+05       9.305841819149e+04       1.285271535552e+03       1.059108934035e+03       3.269805954580e+03       1.151167672667e+05 
       2.778755319552e-02       1.231954042420e+05       9.246946675845e+04       1.298762237811e+03       1.022059181065e+03       3.225574236515e+03       1.146450357708e+05 
       2.792644932638e-02       1.227297988468e+05       9.188325046328e+04       1.309285299440e+03       9.861371713704e+02       3.180503497484e+03       1.141747452518e+05 
       2.806557619576e-02       1.222654075340e+05       9.130013367522e+04       1.316679777187e+03       9.516405948717e+02       3.134695471856e+03       1.137058777806e+05 
       2.820493914521e-02       1.218022943764e+05       9.072027489508e+04       1.320810923992e+03       9.188457479692e+02       3.088265042783e+03       1.132385107084e+05 
       2.834454365867e-02       1.213403386120e+05       9.014305732640e+04       1.321609774180e+03       8.879950354141e+02       3.041338247789e+03       1.127724513936e+05 
       2.848439536691e-02       1.208796887474e+05       8.956912084371e+04       1.319045668485e+03       8.593062404051e+02       2.994058828521e+03       1.123079222106e+05 
       2.862450005222e-02       1.204201294945e+05       8.899768136401e+04       1.313129548401e+03       8.329596333612e+02       2.946564207274e+03       1.118446285503e+05 
       2.876486365322e-02       1.199618660782e+05       8.842997178684e+04       1.303933301795e+03       8.091061555448e+02       2.899020163335e+03       1.113829324920e+05 
       2.890549226988e-02       1.195047512317e+05       8.786495711306e+04       1.291573647776e+03       7.878438284069e+02       2.851577480448e+03       1.109225569779e+05 
       2.904639216873e-02       1.190488369586e+05       8.730302383967e+04       1.276188655077e+03       7.692524824202e+02       2.804398475707e+03       1.104636083782e+05 
       2.918756978830e-02       1.185940801425e+05       8.674401637269e+04       1.257981932124e+03       7.533538251930e+02       2.757641718560e+03       1.100060320277e+05 
       2.932903174480e-02       1.181405240032e+05       8.618829214578e+04       1.237185456007e+03       7.401405771271e+02       2.711467465211e+03       1.095499235312e+05 
       2.947078483793e-02       1.176880401683e+05       8.563520203274e+04       1.214045768925e+03       7.295691736875e+02       2.666023487739e+03       1.090950822779e+05 
       2.961283605707e-02       1.172367683289e+05       8.508569788058e+04       1.188872020988e+03       7.215504506975e+02       2.621462623275e+03       1.086417754020e+05 
       2.975519258760e-02       1.167865940620e+05       8.453880283586e+04       1.161976784790e+03       7.159622390237e+02       2.577915885776e+03       1.081897630824e+05 
       2.989786181758e-02       1.163375846388e+05       8.399539349497e+04       1.133692277917e+03       7.126537723546e+02       2.535515773535e+03       1.077392416230e+05 
       3.004085134464e-02       1.158897048988e+05       8.345508598582e+04       1.104379508879e+03       7.114373722325e+02       2.494375068698e+03       1.072901280845e+05 
       3.018416898324e-02       1.154428571875e+05       8.291756000461e+04       1.074393373709e+03       7.121036710315e+02       2.454593795001e+03       1.068422982212e+05 
       3.032782277212e-02       1.149970954665e+05       8.238305186484e+04       1.044114000954e+03       7.144128887448e+02       2.416259614463e+03       1.063958377905e+05 
       3.047182098223e-02       1.145526088425e+05       8.185260798356e+04       1.013919755667e+03       7.181125347781e+02       2.379451631619e+03       1.059510682722e+05 
       3.061617212485e-02       1.141089241445e+05       8.132413827977e+04       9.841519918106e+02       7.229249074524e+02       2.344207074171e+03       1.055072836026e+05 
       3.076088496017e-02       1.136664035047e+05       8.079924698890e+04       9.551978479344e+02       7.285716042443e+02       2.310576409952e+03       1.050650325244e+05 
       3.090596850625e-02       1.132249138635e+05       8.027737796804e+04       9.273953799992e+02       7.347596100093e+02       2.278573601929e+03       1.046241238494e+05 
       3.105143204830e-02       1.127844320816e+05       7.975849808217e+04       9.010736022099e+02       7.411995035669e+02       2.248203453131e+03       1.041845369516e+05 
       3.119728514843e-02       1.123449588135e+05       7.924263101739e+04       8.765350765876e+02       7.475979859689e+02       2.219446656903e+03       1.037462787685e+05 
       3.134353765589e-02       1.119066060308e+05       7.873063897984e+04       8.540649163550e+02       7.536764160891e+02       2.192280454139e+03       1.033095769747e+05 
       3.149019971770e-02       1.114691395088e+05       7.822132414077e+04       8.339036724122e+02       7.591603531502e+02       2.166643700499e+03       1.028740563382e+05 
